AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,CARRIER,CARRIER_NAME,REGION
20272,KAH,Kenmore Air Harbor,06927,KAH,Kenmore Air Harbor,D
20372,KLQ,Kalitta Charters II,16770,KLQ,Kalitta Charters II,I
21635,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,D
21743,2LQ,Tropic Ocean Airways LLC,01203,2LQ,Tropic Ocean Airways LLC,D
22085,GCA,"Global Crossing Airlines, Inc.",19768,GCA,"Global Crossing Airlines, Inc.",I
20452,YX,Republic Airline,06003,YX,Republic Airline,D
20201,AMQ,Ameristar Air Cargo,16057,AMQ,Ameristar Air Cargo,I
20377,X9,Omni Air International LLC,16736,X9,Omni Air International LLC,I
21652,27Q,"Jet Aviation Flight Services, Inc.",11046,27Q,"Jet Aviation Flight Services, Inc.",I
19977,UA,United Air Lines Inc.,10876,UA,United Air Lines Inc.,L
21979,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",11057,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",I
19977,UA,United Air Lines Inc.,0A875,UA,United Air Lines Inc.,D
21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",01130,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",D
21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11054,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I
20377,X9,Omni Air International LLC,06738,X9,Omni Air International LLC,D
20207,XP,TEM Enterprises dba  Avelo Airlines,06144,XP,TEM Enterprises dba  Avelo Airlines,D
20007,5Y,Atlas Air Inc.,16087,5Y,Atlas Air Inc.,I
20405,N8,National Air Cargo Group Inc d/ba National Airlines,11049,N8,National Air Cargo Group Inc d/ba National Airlines,I
21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",01159,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",D
20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",16076,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",I
20445,C5,CommuteAir LLC dba CommuteAir,11059,C5,CommuteAir LLC dba CommuteAir,L
20422,SY,Sun Country Airlines d/b/a MN Airlines,16795,SY,Sun Country Airlines d/b/a MN Airlines,L
20207,XP,TEM Enterprises dba  Avelo Airlines,16144,XP,TEM Enterprises dba  Avelo Airlines,I
20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,11062,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,I
20370,KAQ,Kalitta Air LLC,16683,KAQ,Kalitta Air LLC,I
19977,UA,United Air Lines Inc.,10874,UA,United Air Lines Inc.,A
20445,C5,CommuteAir LLC dba CommuteAir,06944,C5,CommuteAir LLC dba CommuteAir,D
20169,L2,Lynden Air Cargo Airlines,11040,L2,Lynden Air Cargo Airlines,I
20007,5Y,Atlas Air Inc.,06087,5Y,Atlas Air Inc.,D
20370,KAQ,Kalitta Air LLC,06683,KAQ,Kalitta Air LLC,D
19977,UA,United Air Lines Inc.,10877,UA,United Air Lines Inc.,P
