YEAR,MONTH,QUARTER,CLASS,CARRIER,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,DISTANCE_GROUP,Faixa_Descricao,PASSENGERS,FREIGHT,MAIL,DISTANCE
2024,6,2,L,KAH,KAH,11646,"Friday Harbor, WA",16233,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,19
2024,9,3,L,KAH,KAH,16233,"Victoria, Canada",11646,"Friday Harbor, WA",1,Less Than 500 Miles,0,0,0,19
2024,8,3,L,KAH,KAH,11762,"Friday Harbor, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,20
2024,10,4,L,KAH,KAH,11762,"Friday Harbor, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,20
2024,9,3,L,KAH,KAH,16263,"Victoria, Canada",11762,"Friday Harbor, WA",1,Less Than 500 Miles,0,0,0,20
2024,10,4,P,KLQ,KLQ,16166,"Windsor, Canada",16091,"Detroit, MI",1,Less Than 500 Miles,0,0,0,30
2024,8,3,L,KAH,KAH,11588,"Eastsound, WA",16229,"Vancouver, Canada",1,Less Than 500 Miles,0,0,0,36
2024,4,2,L,KAH,KAH,15856,"Westsound, WA",11215,"Vancouver, Canada",1,Less Than 500 Miles,0,0,0,45
2024,5,2,L,KAH,KAH,16229,"Vancouver, Canada",11762,"Friday Harbor, WA",1,Less Than 500 Miles,0,0,0,47
2024,5,2,L,KAH,KAH,11215,"Vancouver, Canada",11646,"Friday Harbor, WA",1,Less Than 500 Miles,0,0,0,53
2024,6,2,F,KAH,KAH,11646,"Friday Harbor, WA",16310,"Nanaimo, Canada",1,Less Than 500 Miles,0,0,0,60
2024,7,3,F,KAH,KAH,11646,"Friday Harbor, WA",16310,"Nanaimo, Canada",1,Less Than 500 Miles,0,0,0,60
2024,2,1,L,LF,LF,10621,"Bimini, The Bahamas",11697,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,61
2024,2,1,L,LF,LF,11697,"Fort Lauderdale, FL",10621,"Bimini, The Bahamas",1,Less Than 500 Miles,0,0,0,61
2024,8,3,L,2LQ,2LQ,11223,"Cat Cay, The Bahamas",13303,"Miami, FL",1,Less Than 500 Miles,0,0,0,65
2024,11,4,L,2LQ,2LQ,13898,"Miami, FL",10621,"Bimini, The Bahamas",1,Less Than 500 Miles,0,0,0,65
2024,2,1,L,LF,LF,10621,"Bimini, The Bahamas",13898,"Miami, FL",1,Less Than 500 Miles,0,0,0,65
2024,11,4,L,2LQ,2LQ,13898,"Miami, FL",11223,"Cat Cay, The Bahamas",1,Less Than 500 Miles,0,0,0,67
2024,8,3,L,GCA,GCA,10792,"Buffalo, NY",16271,"Toronto, Canada",1,Less Than 500 Miles,0,0,0,68
2024,7,3,F,YX,YX,10792,"Buffalo, NY",16271,"Toronto, Canada",1,Less Than 500 Miles,0,0,0,68
2024,8,3,F,YX,YX,10792,"Buffalo, NY",16271,"Toronto, Canada",1,Less Than 500 Miles,0,0,0,68
2024,4,2,F,YX,YX,16271,"Toronto, Canada",10792,"Buffalo, NY",1,Less Than 500 Miles,0,0,0,68
2024,4,2,F,KAH,KAH,16233,"Victoria, Canada",12652,"Kenmore, WA",1,Less Than 500 Miles,0,0,0,70
2024,9,3,L,KAH,KAH,16233,"Victoria, Canada",12652,"Kenmore, WA",1,Less Than 500 Miles,0,0,0,70
2024,7,3,L,2LQ,2LQ,10621,"Bimini, The Bahamas",15260,"Miami, FL",1,Less Than 500 Miles,0,0,0,73
2024,4,2,L,KAH,KAH,13002,"Seattle, WA",16233,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,2,1,L,KAH,KAH,14004,"Everett, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,3,1,L,KAH,KAH,14004,"Everett, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,5,2,F,KAH,KAH,14004,"Everett, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,8,3,L,KAH,KAH,14004,"Everett, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,9,3,L,KAH,KAH,14004,"Everett, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,10,4,F,KAH,KAH,14004,"Everett, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,12,4,L,KAH,KAH,14004,"Everett, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,73
2024,3,1,L,KAH,KAH,16233,"Victoria, Canada",13002,"Seattle, WA",1,Less Than 500 Miles,0,0,0,73
2024,5,2,L,KAH,KAH,16233,"Victoria, Canada",13002,"Seattle, WA",1,Less Than 500 Miles,0,0,0,73
2024,6,2,L,KAH,KAH,16233,"Victoria, Canada",13002,"Seattle, WA",1,Less Than 500 Miles,0,0,0,73
2024,8,3,L,KAH,KAH,16263,"Victoria, Canada",14004,"Everett, WA",1,Less Than 500 Miles,0,0,0,73
2024,12,4,F,YX,YX,10785,"Burlington, VT",16217,"Montreal, Canada",1,Less Than 500 Miles,0,0,0,75
2024,11,4,L,2LQ,2LQ,13746,"Bimini, The Bahamas",14027,"West Palm Beach/Palm Beach, FL",1,Less Than 500 Miles,0,0,0,83
2024,6,2,L,2LQ,2LQ,15860,"West End, The Bahamas",11697,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,84
2024,11,4,L,2LQ,2LQ,15860,"West End, The Bahamas",11697,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,84
2024,7,3,L,2LQ,2LQ,11223,"Cat Cay, The Bahamas",14027,"West Palm Beach/Palm Beach, FL",1,Less Than 500 Miles,0,0,0,93
2024,6,2,L,2LQ,2LQ,14027,"West Palm Beach/Palm Beach, FL",11223,"Cat Cay, The Bahamas",1,Less Than 500 Miles,0,0,0,93
2024,10,4,F,KAH,KAH,10559,"Seattle, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,93
2024,11,4,F,KAH,KAH,10559,"Seattle, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,93
2024,12,4,F,KAH,KAH,10559,"Seattle, WA",16263,"Victoria, Canada",1,Less Than 500 Miles,0,0,0,93
2024,7,3,L,2LQ,2LQ,11697,"Fort Lauderdale, FL",11731,"Freeport, The Bahamas",1,Less Than 500 Miles,0,0,0,96
2024,11,4,L,2LQ,2LQ,11731,"Freeport, The Bahamas",11697,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,96
2024,8,3,L,KAH,KAH,16229,"Vancouver, Canada",14004,"Everett, WA",1,Less Than 500 Miles,0,0,0,98
2024,8,3,F,9K,9K,14843,"San Juan, PR",15598,"Virgin Gorda, British Virgin Islands",1,Less Than 500 Miles,0,0,0,103
2024,9,3,F,9K,9K,14843,"San Juan, PR",15598,"Virgin Gorda, British Virgin Islands",1,Less Than 500 Miles,0,0,0,103
2024,8,3,F,9K,9K,15598,"Virgin Gorda, British Virgin Islands",14843,"San Juan, PR",1,Less Than 500 Miles,0,0,0,103
2024,9,3,F,9K,9K,15598,"Virgin Gorda, British Virgin Islands",14843,"San Juan, PR",1,Less Than 500 Miles,0,0,0,103
2024,1,1,F,YX,YX,14576,"Rochester, NY",16271,"Toronto, Canada",1,Less Than 500 Miles,0,0,0,106
2024,7,3,F,YX,YX,14576,"Rochester, NY",16271,"Toronto, Canada",1,Less Than 500 Miles,0,0,0,106
2024,8,3,L,KAH,KAH,14004,"Everett, WA",16016,"Nanaimo, Canada",1,Less Than 500 Miles,0,0,0,108
2024,9,3,L,KAH,KAH,14004,"Everett, WA",16016,"Nanaimo, Canada",1,Less Than 500 Miles,0,0,0,108
2024,11,4,L,2LQ,2LQ,14027,"West Palm Beach/Palm Beach, FL",15778,"Walker's Cay, The Bahamas",1,Less Than 500 Miles,0,0,0,112
2024,11,4,L,2LQ,2LQ,15778,"Walker's Cay, The Bahamas",14027,"West Palm Beach/Palm Beach, FL",1,Less Than 500 Miles,0,0,0,112
2024,6,2,L,KAH,KAH,11215,"Vancouver, Canada",12652,"Kenmore, WA",1,Less Than 500 Miles,0,0,0,114
2024,6,2,L,KAH,KAH,12652,"Kenmore, WA",11215,"Vancouver, Canada",1,Less Than 500 Miles,0,0,0,114
2024,2,1,L,KAH,KAH,11215,"Vancouver, Canada",13002,"Seattle, WA",1,Less Than 500 Miles,0,0,0,121
2024,2,1,L,KAH,KAH,10559,"Seattle, WA",16229,"Vancouver, Canada",1,Less Than 500 Miles,0,0,0,122
2024,4,2,L,KAH,KAH,16229,"Vancouver, Canada",10559,"Seattle, WA",1,Less Than 500 Miles,0,0,0,122
2024,7,3,L,KAH,KAH,16229,"Vancouver, Canada",10559,"Seattle, WA",1,Less Than 500 Miles,0,0,0,122
2024,9,3,L,LF,LF,10559,"Seattle, WA",16229,"Vancouver, Canada",1,Less Than 500 Miles,0,0,0,122
2024,8,3,L,LF,LF,16229,"Vancouver, Canada",10559,"Seattle, WA",1,Less Than 500 Miles,0,0,0,122
2024,7,3,F,9K,9K,10444,"The Valley, Anguilla",15024,"Charlotte Amalie, VI",1,Less Than 500 Miles,0,0,0,126
2024,8,3,F,9K,9K,10444,"The Valley, Anguilla",15024,"Charlotte Amalie, VI",1,Less Than 500 Miles,0,0,0,126
2024,9,3,F,9K,9K,10444,"The Valley, Anguilla",15024,"Charlotte Amalie, VI",1,Less Than 500 Miles,0,0,0,126
2024,10,4,F,9K,9K,10444,"The Valley, Anguilla",15024,"Charlotte Amalie, VI",1,Less Than 500 Miles,0,0,0,126
2024,2,1,F,9K,9K,15024,"Charlotte Amalie, VI",10444,"The Valley, Anguilla",1,Less Than 500 Miles,0,0,0,126
2024,7,3,F,9K,9K,15024,"Charlotte Amalie, VI",10444,"The Valley, Anguilla",1,Less Than 500 Miles,0,0,0,126
2024,8,3,F,9K,9K,15024,"Charlotte Amalie, VI",10444,"The Valley, Anguilla",1,Less Than 500 Miles,0,0,0,126
2024,9,3,F,9K,9K,15024,"Charlotte Amalie, VI",10444,"The Valley, Anguilla",1,Less Than 500 Miles,0,0,0,126
2024,10,4,F,9K,9K,15024,"Charlotte Amalie, VI",10444,"The Valley, Anguilla",1,Less Than 500 Miles,0,0,0,126
2024,11,4,P,AMQ,AMQ,11433,"Detroit, MI",16252,"London, Canada",1,Less Than 500 Miles,0,0,0,126
2024,1,1,L,X9,X9,14747,"Seattle, WA",16229,"Vancouver, Canada",1,Less Than 500 Miles,0,0,0,127
2024,1,1,P,AMQ,AMQ,13061,"Laredo, TX",13514,"Monterrey, Mexico",1,Less Than 500 Miles,0,0,0,128
2024,1,1,P,AMQ,AMQ,13514,"Monterrey, Mexico",13061,"Laredo, TX",1,Less Than 500 Miles,0,0,0,128
2024,6,2,L,KAH,KAH,10559,"Seattle, WA",16016,"Nanaimo, Canada",1,Less Than 500 Miles,0,0,0,128
2024,12,4,P,KLQ,KLQ,13061,"Laredo, TX",13514,"Monterrey, Mexico",1,Less Than 500 Miles,0,0,0,128
2024,11,4,P,AMQ,AMQ,16091,"Detroit, MI",16252,"London, Canada",1,Less Than 500 Miles,0,0,0,133
2024,4,2,P,AMQ,AMQ,16252,"London, Canada",16091,"Detroit, MI",1,Less Than 500 Miles,0,0,0,133
2024,9,3,P,KLQ,KLQ,16091,"Detroit, MI",16252,"London, Canada",1,Less Than 500 Miles,0,0,0,133
2024,10,4,P,KLQ,KLQ,16091,"Detroit, MI",16252,"London, Canada",1,Less Than 500 Miles,0,0,0,133
2024,11,4,P,KLQ,KLQ,16091,"Detroit, MI",16252,"London, Canada",1,Less Than 500 Miles,0,0,0,133
2024,10,4,P,KLQ,KLQ,16252,"London, Canada",16091,"Detroit, MI",1,Less Than 500 Miles,0,0,0,133
2024,11,4,L,2LQ,2LQ,15778,"Walker's Cay, The Bahamas",11697,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,135
2024,8,3,L,2LQ,2LQ,11911,"Great Harbour Cay, The Bahamas",11697,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,146
2024,8,3,L,2LQ,2LQ,11911,"Great Harbour Cay, The Bahamas",11827,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,148
2024,8,3,L,2LQ,2LQ,14682,"San Andros, The Bahamas",11697,"Fort Lauderdale, FL",1,Less Than 500 Miles,0,0,0,149
