CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW
KAH,Kenmore Air Harbor,1,6
KLQ,Kalitta Charters II,1,1
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,6
2LQ,Tropic Ocean Airways LLC,1,6
GCA,"Global Crossing Airlines, Inc.",2,2
YX,Republic Airline,3,3
AMQ,Ameristar Air Cargo,1,4
X9,Omni Air International LLC,2,2
27Q,"Jet Aviation Flight Services, Inc.",2,2
UA,United Air Lines Inc.,3,3
3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",1,4
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2
XP,TEM Enterprises dba  Avelo Airlines,2,2
5Y,Atlas Air Inc.,3,3
N8,National Air Cargo Group Inc d/ba National Airlines,2,2
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,1
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,1
C5,CommuteAir LLC dba CommuteAir,2,2
SY,Sun Country Airlines d/b/a MN Airlines,3,3
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,1
KAQ,Kalitta Air LLC,3,3
L2,Lynden Air Cargo Airlines,2,2
3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",2,2
WI,Sky Lease Cargo,2,2
KD,Western Global,2,2
PO,Polar Air Cargo Airways,3,3
PFQ,Asia Pacific,1,1
FX,Federal Express Corporation,3,3
DL,Delta Air Lines Inc.,3,3
U7,USA Jet Airlines Inc.,3,3
1YQ,"Air Charter, Inc d/b/a Air Flamenco",1,6
M6,Amerijet International,2,2
NC,Northern Air Cargo Inc.,2,2
GFQ,Gulf And Caribbean Cargo,1,1
5X,United Parcel Service,3,3
8C,Air Transport International,2,2
ABX,ABX Air Inc,2,2
04Q,Tradewind Aviation,1,6
2NQ,LIMA NY Corp d/b/a Fly The Whale,1,6
MQ,Envoy Air,3,3
AA,American Airlines Inc.,3,3
AS,Alaska Airlines Inc.,3,3
AN,"ADVANCED AIR, LLC",1,6
TQ,"Tailwind Air, LLC",1,6
F9,Frontier Airlines Inc.,3,3
9E,Endeavor Air Inc.,2,2
3BQ,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",1,6
2JQ,Delux Public Charter LLC,1,6
WN,Southwest Airlines Co.,3,3
3M,Silver Airways,2,2
B6,JetBlue Airways,3,3
OH,PSA Airlines Inc.,2,2
YV,Mesa Airlines Inc.,2,2
OO,SkyWest Airlines Inc.,3,3
7H,NEW PACIFIC AIRLINES,1,5
G7,GoJet Airlines LLC d/b/a United Express,2,2
1EQ,"KaiserAir, Inc.",1,4
MX,Breeze Aviation Group DBA  Breeze,2,2
ZW,Air Wisconsin Airlines Corp,2,2
NK,Spirit Air Lines,3,3
HA,Hawaiian Airlines Inc.,3,3
PT,Piedmont Airlines,2,2
G4,Allegiant Air,3,3
QX,Horizon Air,2,2
